experience_clean
consulted seniors career coach discover enjoy doing wouldn't mind future
coding
mods gravitated towards bit confusing mods counting cu etc
not sufficient information types jobs available track modules unsure suit
choosing declaring oasis
""
website defines track modules cleared distinctive
choices mods track
not information online
""
""
dont not able try courses tracks deciding
talks specialisation semester expect smu website mods required track
scis major talks attending sessions am left unsure pursue feel sessions not portray tracks
major information provided course coordinator briefing
""
""
i'm software engineering batch teachers courses nd majors
""
programme outline provides potential career paths careers linear realised skills tracks eventually bit difficult decide doing single double track
excel file google drive
logical lucrative track coding
wasn't guidance information choosing tracks common questions not easy answers
product management figma
guess easy fintech niche don't wish finance tech bro smt not path
no idea track exactly abt
not career options consider track able compare future prospects options
checked friends process detailed information track offers
""
looked smu website seniors
""
specified beginning freshman declare major track explored
feel wasn't explained learn module tracks
""
future career path
mods combinations little weird understand
choosing track specialisation start i've goal job i'd specialise eventually helped deciding attending track briefing sessions profs sessions seniors modules they've fulfil track helped understand potential job prospects i'd track choose
information segmentation didnt select major hour bidding time not exactly mods specialisation
information available worded
understood assignment
not career prospects specific mods teach
thinking job sector
report hard scenarios modules double counted oasis relevant track
""
process sense spreadsheet courses specialisation unclear weren't modules useful future wide variety modules choose specialisation
there's information online track entails mods info not easily aggregated
lost double counting
choosing mods list feels kinda random not i'm competent track name
resources available form info deck meetings online
confused overwhelmed tracks offers courses fulfill tracks
modules double count
""
oasis
""
course outline tracks available information available exactly taught courses
courses available track scis website track selection briefing answer questions
clearer speaking prof sem confused start im not aware centralised documention guide located
briefing school help seniors
""
instructions emphasised start choose specialisations start sign major talks understand choose
didnt ownself figure
""
nil
ispd track guidance
briefings held school school website provided information requirements potential future trajectory
